Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
04/01/2021,Thomas,Tuberville,US Senator,INTC,Intel Corp,8000,Buy,"Purchase Of Put Options With Strike Price $50.00 And Expiry 07/16/2021. Traded $1,001 To $15.000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Carper,US Senator,PSQ,Short QQQ -1X ,24000,Buy,"By Spouse. Traded $3,001 To $45,000 "
04/01/2021,Thomas,Tuberville,US Senator,PYPL,Paypal Holding,16000,Sell,"Sale Of Put Options With Strike Price $220.00 And 06/17/2022. Traded $2,001 To $30.000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Carper,US Senator,SH,Short S&P500 -,24000,Sell,"By Spouse. Traded $3,001 To $45,000 "
04/01/2021,Thomas,Tuberville,US Senator,INTC,Intel Corp,32000,Sell,"Sale Of Put Options With Strike Price $50.00 And Expiry 07/16/2021. Traded $4,001 To $60,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Tuberville,US Senator,WY,Weyerhaeuser C,75000,Sell,"Traded $50,001 to $100,000 "
04/01/2021,Thomas,Tuberville,US Senator,DG,Dollar General,75000,Sell,"Traded $50,001 to $100,000 ."
05/01/2021,James,Inhofe,US Senator,CRSP,Crispr Therape,8000,Sell,"Traded $1,001 to $15,000 "
05/01/2021,Thomas,Tuberville,US Senator,META,Meta Platforms,8000,Sell,"Sale Of Put Options With Strike Price $225.00 And Expiry 07/16/2021. Traded $1,001 To $15,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
06/01/2021,Thomas,Tuberville,US Senator,AA,Alcoa Corp,65000,Buy,"Traded $30,001 To $100,000 "
06/01/2021,Thomas,Tuberville,US Senator,AA,Alcoa Corp,8000,Sell,"Sale Of Call Options With At A Strike Price Of $26.00 And Expiry 07/16/2021.Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
06/01/2021,Thomas,Tuberville,US Senator,AA,Alcoa Corp,16000,Sell,"Sale Of Put Options With Strike Price $22.00 And Expiry 01/21/2022 .Traded $2,001 To $30,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
08/01/2021,William Francis,Hagerty,US Senator,VRM,Vroom Inc,8000,Buy,"Traded $1,001 to $15,000 ."
08/01/2021,Thomas,Carper,US Senator,AJRD,Aerojet Rocket,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
08/01/2021,William Francis,Hagerty,US Senator,LMND,Lemonade Inc,8000,Sell,"Traded $1,001 to $15,000 "
11/01/2021,Thomas,Carper,US Senator,MNDT,Mandiant Inc,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
11/01/2021,Thomas,Carper,US Senator,DDOG,Datadog Inc Cl,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
11/01/2021,Thomas,Carper,US Senator,CAG,Conagra Brands,8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
11/01/2021,Thomas,Carper,US Senator,PSQ,Short QQQ -1X ,24000,Sell,"By Spouse. Traded $3,001 To $45,000 "
11/01/2021,Thomas,Carper,US Senator,SH,Short S&P500 -,24000,Sell,"By Spouse. Traded $3,001 To $45,000 "
13/01/2021,Richard,Blumenthal,US Senator,SG,Sweetgreen Inc,75000,Buy,"By Spouse. Traded $50,001 To $100,000 "
13/01/2021,Thomas,Tuberville,US Senator,QQQ,Nasdaq QQQ Inv,32500,Sell,"Sale Of Put Options With Strike Price $262.00 And Expiry 09/17/2021. Traded $15.001 To $50,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
13/01/2021,Thomas,Tuberville,US Senator,TDY,Teledyne Techn,75000,Sell,"Traded $50,001 to $100,000 "
15/01/2021,Gary,Peters,US Senator,STAG,Stag Industria,8000,Buy,"Traded $1,001 to $15,000 "
15/01/2021,Gary,Peters,US Senator,AEP,American Elect,8000,Buy,"Traded $1,001 to $15,000 "
19/01/2021,William Francis,Hagerty,US Senator,EDIT,Editas Medicin,32500,Sell,"Traded $15,001 to $50,000 "
20/01/2021,Ronald,Wyden,US Senator,AAPL,Apple Inc,24002,Buy,"By Dependent Children. Traded $3,003 To $45,000 ."
21/01/2021,Thomas,Tuberville,US Senator,CLF,Cleveland-Clif,32500,Buy,"Traded $15,001 to $50,000 "
21/01/2021,Thomas,Tuberville,US Senator,CLF,Cleveland-Clif,8000,Sell,"Sale Of Put Options With Strike Price $15.00 And 07/16/2021.Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
22/01/2021,John,Boozman,US Senator,ABBV,Abbvie Inc,8000,Buy,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,GBIL,GS Treasuryacc,8000,Buy,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,INDA,India MSCI Ish,8000,Buy,"Traded $1,001 to $15,000 "
22/01/2021,John,Boozman,US Senator,IVW,S&P 500 Growth,8000,Buy,"Traded $1,001 to $15,000 "
