Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-07-07,Edwin,Perlmutter,"US Congressman",BABAF,"Alibaba Group ",8000,Sell,"As ADR/ADS but shown as Ord equivalent. By Spouse. Traded $1,001 to $15,000 ."
2021-07-07,Kevin,Hern,"US Congressman",TROW,"T Rowe Price G",8000,"Div Re","Traded $1,001 to $15,000 "
2021-07-07,Kevin,Hern,"US Congressman",DIAL,"Columbia Diver",8000,"Div Re","Traded $1,001 to $15,000 "
2021-07-07,Diana,Harshbarger,"US Congressman",IR,"Ingersoll Rand",32002,Sell,"By Director And Spouse. Traded $4,004 To $60,000 ."
2021-07-07,Michael,Mccaul,"US Congressman",BRX,"Brixmor Proper",16001,Sell,"By Dependent Child And Spouse. Traded $2,002 To $30,000 "
2021-07-07,Michael,Mccaul,"US Congressman",MLKN,"Millerknoll In",40501,Buy,"By Dependent Child And Spouse. Traded $16,002 To $65,000 "
2021-07-07,Michael,Mccaul,"US Congressman",OGN,"Organon & Co.",107501,Buy,"By Dependent Child And Spouse. Traded $65,002 To $150,000 "
2021-07-07,Edwin,Perlmutter,"US Congressman",UAL,"United Airline",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2021-07-07,Edwin,Perlmutter,"US Congressman",GOOG,"Alphabet Cl C",8000,Sell,"By Spouse.Traded $1,001 to $15,000 "
2021-07-07,Rohit,Khanna,"US Congressman",KMB,Kimberly-Clark,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2021-07-07,Susie,Lee,"US Congressman",LYV,"Live Nation En",8000,Buy,"Traded $1,001 to $15,000 "
2021-07-07,Susie,Lee,"US Congressman",CCK,"Crown Cork & S",8000,Buy,"Traded $1,001 to $15,000 "
2021-07-07,Susie,Lee,"US Congressman",STZ,"Constellation ",8000,Sell,"Traded $1,001 to $15,000 ."
2021-07-07,Susie,Lee,"US Congressman",CHDN,"Churchill Down",8000,Buy,"Traded $1,001 to $15,000 ."
2021-07-07,Susie,Lee,"US Congressman",KMX,"Carmax Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-07-07,Susie,Lee,"US Congressman",BLL,"Ball Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-07-07,Trey,Hollingsworth,"US Congressman",MMP,"Magellan Midst",32500,Buy,"Traded $15,001 to $50,000 ."
2021-07-07,Alan,Lowenthal,"US Congressman",UBER,"Uber Technolog",8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
2021-07-07,Mark,Green,"US Congressman",SHLX,"Shell Midstrea",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-07,Mark,Green,"US Congressman",NS,"Nustar Energy ",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-07,Mark,Green,"US Congressman",ENLC,"Enlink Midstre",375000,Sell,"Traded $250,001 to $500,000 "
2021-07-07,Mark,Green,"US Congressman",ET,"Energy Transfe",75000,Buy,"Traded $50,001 to $100,000 "
2021-07-07,Mark,Green,"US Congressman",CAPL,"Crossamerica P",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-07,Peter,Sessions,"US Congressman",AGAE,"Allied Gaming ",2201,Buy,"By Spouse. Price Not Reported."
2021-07-07,Robert,Gibbs,"US Congressman",GOLD,"Barrick Gold C",8000,Buy,"Traded $1,001 to $15,000 "
2021-07-06,Michael,Mccaul,"US Congressman",LLY,"Eli Lilly and ",450001,Sell,"By Dependent Child And Spouse. Traded $300,002 To $600,000 "
2021-07-06,Michael,Mccaul,"US Congressman",SYY,"Sysco Corp",107501,Sell,"By Dependent Child And Spouse. Traded $65,002 To $150,000 ."
2021-07-06,Michael,Mccaul,"US Congressman",MLKN,"Millerknoll In",107501,Buy,"By Dependent Child And Spouse. Traded $65,002 To $150,000 "
2021-07-06,Michael,Mccaul,"US Congressman",OGN,"Organon & Co.",250001,Buy,"By Dependent Child And Spouse. Traded $150,002 To $350,000 "
2021-07-06,Rohit,Khanna,"US Congressman",HBI,"Hanesbrands In",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2021-07-06,Patrick,Fallon,"US Congressman",VZ,"Verizon Commun",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-06,Rohit,Khanna,"US Congressman",AIG,"American Inter",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",SBAC,"SBA Communicat",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",ZNGA,"Zynga Inc Cl A",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",GILD,"Gilead Science",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",TXN,"Texas Instrume",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",WFC,"Wells Fargo & ",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",DE,"Deere & Compan",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",CARR,"Carrier Global",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",PSA,"Public Storage",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",SHW,Sherwin-Willia,16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",ABBV,"Abbvie Inc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",V,"Visa Inc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",CHTR,"Charter Commun",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",MMC,"Marsh & Mclenn",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",BWA,"Borgwarner Inc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",CAT,"Caterpillar In",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",VZ,"Verizon Commun",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",FRCB,"First Republic",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",HON,"Honeywell Inte",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 To $30,000 "
2021-07-06,Rohit,Khanna,"US Congressman",WY,"Weyerhaeuser C",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",MET,"Metlife Inc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-07-06,Rohit,Khanna,"US Congressman",LIN,"Linde Plc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
