Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
06/05/2021,Michael,Mccaul,US Congressman,BRX,Brixmor Proper,107501,Sell,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
06/05/2021,Michael,Mccaul,US Congressman,EPAM,Epam Systems I,65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
06/05/2021,Michael,Mccaul,US Congressman,BURL,Burlington Sto,65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
06/05/2021,Michael,Mccaul,US Congressman,NVDA,Nvidia Corp,65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
06/05/2021,Michael,Mccaul,US Congressman,UPS,United Parcel ,65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
06/05/2021,Thomas,Tuberville,US Senator,X,United States ,32000,Sell,"Sale Of Call Options With Strike Price $29.00 And Expiry 10/15/2021 .Traded $4,001 To $60,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
06/05/2021,Thomas,Tuberville,US Senator,X,United States ,175000,Buy,"Traded $100,001 to $250,000 "
06/05/2021,Thomas,Tuberville,US Senator,X,United States ,32500,Sell,"Sale Of Put Options With Strike Price $24.00 And Expiry 10/15/2021 .Traded $15,001 To $50,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
06/05/2021,Richard,Blumenthal,US Senator,PLAN,Anaplan Inc,32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
06/05/2021,Richard,Blumenthal,US Senator,LYV,Live Nation En,32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
06/05/2021,Richard,Blumenthal,US Senator,SQ,Block Inc,32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
06/05/2021,Richard,Blumenthal,US Senator,TSLA,Tesla Inc,75000,Sell,"By Spouse. Traded $50,001 To $100,000 "
06/05/2021,Richard,Blumenthal,US Senator,UBER,Uber Technolog,75000,Sell,"By Spouse. Traded $50,001 To $100,000 "
06/05/2021,Richard,Blumenthal,US Senator,ZG,Zillow Grp Inc,32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
06/05/2021,Tomasz,Malinowski,US Congressman,PCRX,Pacira Pharm I,8000,Buy,"Traded $1,001 to $15,000 "
06/05/2021,Rohit,Khanna,US Congressman,ARES,Ares Managemen,8000,Buy,"Traded $1,001 to $15,000 "
06/05/2021,Rohit,Khanna,US Congressman,MSI,Motorola Solut,8000,Sell,"Traded $1,001 to $15,000 "
06/05/2021,Rohit,Khanna,US Congressman,MTB,M&T Bank Corp,8000,Sell,"Traded $1,001 to $15,000 "
06/05/2021,James,Langevin,US Congressman,ROKU,Roku Inc,8000,Buy,"Acquisition Of Call Options With Strike Price $280 And Expiry 18-June-2020. Traded $1,001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
06/05/2021,Donald,Beyer,US Congressman,NDAQ,Nasdaq Inc,2453,Buy,Price not reported. 
06/05/2021,Donald,Beyer,US Congressman,ILMN,Illumina Inc,1886,Sell,Price not reported. 
06/05/2021,Donald,Beyer,US Congressman,FNV,Franco Nev Cor,4384,Buy,Price not reported. 
06/05/2021,Mark,Green,US Congressman,PBFX,PBF Logistics ,375000,Buy,"Traded $250,001 to $500,000 "
06/05/2021,Mark,Green,US Congressman,NGL,Ngl Energy Par,8000,Buy,"Traded $1,001 to $15,000 "
06/05/2021,Mark,Green,US Congressman,ET,Energy Transfe,75000,Buy,"Traded $50,001 to $100,000 "
06/05/2021,Mark,Green,US Congressman,AM,Antero Midstre,375000,Sell,"Traded $250,001 to $500,000 "
06/05/2021,Lois,Frankel,US Congressman,HAE,Haemonetics Co,8000,Sell,"Traded $1,001 to $15,000 "
05/05/2021,Diana,Harshbarger,US Congressman,RRX,Regal Rexnord ,8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
05/05/2021,Thomas,Suozzi,US Congressman,URI,United Rentals,32500,Sell,"Traded $15,001 to $50,000 ."
05/05/2021,Thomas,Suozzi,US Congressman,SPOT,Spotify Techno,75000,Sell,"Traded $50,001 to $100,000 ."
05/05/2021,Thomas,Suozzi,US Congressman,NVDA,Nvidia Corp,32500,Sell,"Traded $15,001 to $50,000 ."
05/05/2021,Thomas,Suozzi,US Congressman,MRVL,Marvell Techno,8000,Buy,"Traded $1,001 to $15,000 "
05/05/2021,Thomas,Suozzi,US Congressman,TREE,Lendingtree In,32500,Sell,"Traded $15,001 to $50,000 ."
05/05/2021,Thomas,Suozzi,US Congressman,LLY,Eli Lilly and ,32500,Sell,"Traded $15,001 to $50,000 "
05/05/2021,Thomas,Suozzi,US Congressman,DVN,Devon Energy C,8000,Sell,"Traded $1,001 to $15,000 "
05/05/2021,Thomas,Suozzi,US Congressman,CVS,CVS Corp,8000,Buy,"Traded $1,001 to $15,000 "
05/05/2021,Thomas,Suozzi,US Congressman,AI,C3.Ai Inc Cl A,75000,Sell,"Traded $50,001 to $100,000 "
05/05/2021,Thomas,Suozzi,US Congressman,AAPL,Apple Inc,8000,Sell,"Traded $1,001 to $15,000 ."
05/05/2021,Michael,Mccaul,US Congressman,EPAM,Epam Systems I,65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
05/05/2021,Michael,Mccaul,US Congressman,BURL,Burlington Sto,65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
05/05/2021,Michael,Mccaul,US Congressman,UPS,United Parcel ,65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
05/05/2021,Michael,Mccaul,US Congressman,NVDA,Nvidia Corp,107501,Buy,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
05/05/2021,Michael,Mccaul,US Congressman,NFLX,Netflix Inc,250001,Buy,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
05/05/2021,Peter,Sessions,US Congressman,CCI,Crown Castle I,3663,Buy,By Spouse. Price Not Reported.
05/05/2021,Peter,Sessions,US Congressman,AMZN,Amazon.com Inc,16353,Buy,By Spouse. Price Not Reported.
05/05/2021,Austin,Scott,US Congressman,BLDP,Ballard Power ,8000,Buy,"Traded $1,001 to $15,000 "
05/05/2021,Mark,Green,US Congressman,USAC,USA Compressio,375000,Sell,"Traded $250,001 to $500,000 ."
05/05/2021,Mark,Green,US Congressman,PBFX,PBF Logistics ,375000,Buy,"Traded $250,001 to $500,000 "
05/05/2021,Mark,Green,US Congressman,NGL,Ngl Energy Par,8000,Buy,"Traded $1,001 to $15,000 "
05/05/2021,Mark,Green,US Congressman,ET,Energy Transfe,175000,Buy,"Traded $100,001 to $250,000 "
05/05/2021,Trey,Hollingsworth,US Congressman,MMP,Magellan Midst,75000,Buy,"Traded $50,001 to $100,000 ."
05/05/2021,Lois,Frankel,US Congressman,TMO,Thermo Fisher ,8000,Buy,"Traded $1,001 to $15,000 "
05/05/2021,Lois,Frankel,US Congressman,MDT,Medtronic Inc,8000,Sell,"Traded $1,001 to $15,000 "
04/05/2021,Diana,Harshbarger,US Congressman,RRX,Regal Rexnord ,8000,Buy,"Traded $1,001 to $15,000 ."
04/05/2021,Kathy,Manning,US Congressman,MTCH,Match Group In,8000,Buy,"Traded $1,001 to $15,000 ."
04/05/2021,Kathy,Manning,US Congressman,ISRG,Intuitive Surg,8000,Sell,"Traded $1,001 to $15,000 ."
