Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-08-06,Michael,Mccaul,"US Congressman",CW,Curtiss-Wright,207501,Buy,"By Spouse & Dependent Child. Traded $115,002 To $300,000 ."
2021-08-06,Charles,Fleischmann,"US Congressman",ZBH,"Zimmer Biomet ",8000,Sell,"By Dependent Child. Traded $1,001 To $15,000 "
2021-08-06,Charles,Fleischmann,"US Congressman",DKNG,"Draftkings Inc",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2021-08-06,Kevin,Hern,"US Congressman",TIP,"TIPS Bond Isha",16001,"Div Re","Traded $2,002 To $30,000 "
2021-08-06,Susie,Lee,"US Congressman",LYV,"Live Nation En",8000,Sell,"Traded $1,001 to $15,000 "
2021-08-06,Marie,Newman,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"By Spouse.Traded $1,001 to $15,000 "
2021-08-06,Marie,Newman,"US Congressman",ATVI,"Activision Bli",8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
2021-08-06,Diana,Harshbarger,"US Congressman",FIS,"Fidelity Natio",16001,Sell,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
2021-08-06,Virginia,Foxx,"US Congressman",NHI,"National Healt",8000,Buy,"Traded $1,001 to $15,000 "
2021-08-06,Michael,Mccaul,"US Congressman",BRX,"Brixmor Proper",107501,Sell,"By Dependent Child And Spouse. Traded $65,002 To $150,000 "
2021-08-06,Alan,Lowenthal,"US Congressman",BSX,"Boston Scienti",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2021-08-06,Stephanie,Bice,"US Senator",WFC,"Wells Fargo & ",8000,Sell,"Traded $1,001 to $15,000 "
2021-08-05,Michael,Mccaul,"US Congressman",CW,Curtiss-Wright,65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-08-05,Michael,Mccaul,"US Congressman",GOOGL,"Alphabet Cl A",250001,Sell,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
2021-08-05,Joshua,Gottheimer,"US Congressman",NSC,"Norfolk Southe",8000,Sell,"Traded $1,001 to $15,000 "
2021-08-05,Kevin,Hern,"US Congressman",DIAL,"Columbia Diver",8000,"Div Re","Traded $1,001 to $15,000 "
2021-08-05,Diana,Harshbarger,"US Congressman",AZO,Autozone,16001,Sell,"Traded $2,002 To $30,000 "
2021-08-05,Brian,Mast,"US Congressman",ESGC,"Eros Stx Globa",8000,Sell,"Traded $1,001 to $15,000 "
2021-08-05,Donald,Beyer,"US Congressman",TJX,"TJX Companies",1714,Sell,"Price not reported"
2021-08-05,Alan,Lowenthal,"US Congressman",DECK,"Deckers Outdoo",8000,Buy,"Traded $1,001 to $15,000 ."
2021-08-05,Marjorie,Greene,"US Congressman",V,"Visa Inc",32500,Buy,"Traded $15,001 to $50,000 "
2021-08-05,Marjorie,Greene,"US Congressman",CLX,"Clorox Company",32500,Buy,"Traded $15,001 to $50,000 "
